County,Year-Month,Value,AQI,Pollutant
Riverside.2,2/1/2014,0.052,29,14129
Riverside.3,3/1/2014,0.0655,35,14129
Riverside.4,4/1/2014,0.036,41,14129
Riverside.5,5/1/2014,0.03,40,14129
Riverside.6,6/1/2014,0.023,36,14129
Riverside.7,7/1/2014,0.021,33,14129
Riverside.8,8/1/2014,0.021,34,14129
Riverside.9,9/1/2014,0.021,37,14129
Riverside.10,10/1/2014,0.017,35,14129
Riverside.11,11/1/2014,0.019,44,14129
Riverside.12,12/1/2014,0.0235,32,14129
Sacramento.1,1/1/2014,0.05,60,14129
Sacramento.2,2/1/2014,0.052,28,14129
Sacramento.3,3/1/2014,0.0655,35,14129
Sacramento.4,4/1/2014,0.036,41,14129
Sacramento.5,5/1/2014,0.03,39,14129
Sacramento.6,6/1/2014,0.023,37,14129
Sacramento.7,7/1/2014,0.021,31,14129
Sacramento.8,8/1/2014,0.021,32,14129
Sacramento.9,9/1/2014,0.021,35,14129
Sacramento.10,10/1/2014,0.017,35,14129
Sacramento.11,11/1/2014,0.019,44,14129
Sacramento.12,12/1/2014,0.0235,35,14129
San Benito.1,1/1/2014,0.05,61,14129
San Benito.2,2/1/2014,0.052,28,14129
San Benito.3,3/1/2014,0.0655,34,14129
San Benito.4,4/1/2014,0.036,40,14129
San Benito.5,5/1/2014,0.03,37,14129
San Benito.6,6/1/2014,0.023,36,14129
San Benito.7,7/1/2014,0.021,27,14129
San Benito.8,8/1/2014,0.021,30,14129
San Benito.9,9/1/2014,0.021,34,14129
San Benito.10,10/1/2014,0.017,34,14129
San Benito.11,11/1/2014,0.019,45,14129
San Benito.12,12/1/2014,0.0235,36,14129
San Bernardino.1,1/1/2014,0.05,60,14129
San Bernardino.2,2/1/2014,0.052,29,14129
San Bernardino.3,3/1/2014,0.0655,35,14129
San Bernardino.4,4/1/2014,0.036,41,14129
San Bernardino.5,5/1/2014,0.03,40,14129
San Bernardino.6,6/1/2014,0.023,37,14129
San Bernardino.7,7/1/2014,0.021,33,14129
San Bernardino.8,8/1/2014,0.021,34,14129
San Bernardino.9,9/1/2014,0.021,37,14129
San Bernardino.10,10/1/2014,0.017,35,14129
San Bernardino.11,11/1/2014,0.019,44,14129
San Bernardino.12,12/1/2014,0.0235,32,14129
San Diego.1,1/1/2014,0.05,58,14129
San Diego.2,2/1/2014,0.052,27,14129
San Diego.3,3/1/2014,0.0655,34,14129
San Diego.4,4/1/2014,0.036,40,14129
San Diego.5,5/1/2014,0.03,38,14129
San Diego.6,6/1/2014,0.023,36,14129
San Diego.7,7/1/2014,0.021,28,14129
San Diego.8,8/1/2014,0.021,30,14129
San Diego.9,9/1/2014,0.021,34,14129
San Diego.10,10/1/2014,0.017,34,14129
San Diego.11,11/1/2014,0.019,44,14129
San Diego.12,12/1/2014,0.0235,36,14129
San Francisco.1,1/1/2014,0.05,60,14129
San Francisco.2,2/1/2014,0.052,28,14129
San Francisco.3,3/1/2014,0.0655,34,14129
San Francisco.4,4/1/2014,0.036,40,14129
San Francisco.5,5/1/2014,0.03,38,14129
San Francisco.6,6/1/2014,0.023,37,14129
San Francisco.7,7/1/2014,0.021,28,14129
San Francisco.8,8/1/2014,0.021,31,14129
San Francisco.9,9/1/2014,0.021,35,14129
San Francisco.10,10/1/2014,0.017,34,14129
San Francisco.11,11/1/2014,0.019,44,14129
San Francisco.12,12/1/2014,0.0235,35,14129
San Joaquin.1,1/1/2014,0.05,60,14129
San Joaquin.2,2/1/2014,0.052,29,14129
San Joaquin.3,3/1/2014,0.0655,35,14129
San Joaquin.4,4/1/2014,0.036,41,14129
San Joaquin.5,5/1/2014,0.03,39,14129
San Joaquin.6,6/1/2014,0.023,36,14129
San Joaquin.7,7/1/2014,0.021,32,14129
San Joaquin.8,8/1/2014,0.021,34,14129
San Joaquin.9,9/1/2014,0.021,37,14129
San Joaquin.10,10/1/2014,0.017,35,14129
San Joaquin.11,11/1/2014,0.019,44,14129
San Joaquin.12,12/1/2014,0.0235,33,14129
San Luis Obispo.1,1/1/2014,0.05,58.5,14129
San Luis Obispo.2,2/1/2014,0.052,28,14129
San Luis Obispo.3,3/1/2014,0.0655,35,14129
San Luis Obispo.4,4/1/2014,0.036,41,14129
San Luis Obispo.5,5/1/2014,0.03,39,14129
San Luis Obispo.6,6/1/2014,0.023,35,14129
San Luis Obispo.7,7/1/2014,0.021,30,14129
San Luis Obispo.8,8/1/2014,0.021,31,14129
San Luis Obispo.9,9/1/2014,0.021,35,14129
San Luis Obispo.10,10/1/2014,0.017,35,14129
San Luis Obispo.11,11/1/2014,0.019,45,14129
San Luis Obispo.12,12/1/2014,0.0235,35,14129
San Mateo.1,1/1/2014,0.05,61,14129
San Mateo.2,2/1/2014,0.052,27,14129
San Mateo.3,3/1/2014,0.0655,34,14129
San Mateo.4,4/1/2014,0.036,40,14129
San Mateo.5,5/1/2014,0.03,38,14129
San Mateo.6,6/1/2014,0.023,36,14129
San Mateo.7,7/1/2014,0.021,28,14129
San Mateo.8,8/1/2014,0.021,31,14129
San Mateo.9,9/1/2014,0.021,34,14129
San Mateo.10,10/1/2014,0.017,34,14129
San Mateo.11,11/1/2014,0.019,45,14129
San Mateo.12,12/1/2014,0.0235,35,14129
Santa Barbara.1,1/1/2014,0.05,61.5,14129
Santa Barbara.2,2/1/2014,0.052,27,14129
Santa Barbara.3,3/1/2014,0.0655,34,14129
Santa Barbara.4,4/1/2014,0.036,40,14129
Santa Barbara.5,5/1/2014,0.03,37,14129
Santa Barbara.6,6/1/2014,0.023,35,14129
Santa Barbara.7,7/1/2014,0.021,28,14129
Santa Barbara.8,8/1/2014,0.021,30,14129
Santa Barbara.9,9/1/2014,0.021,33,14129
Santa Barbara.10,10/1/2014,0.017,34,14129
Santa Barbara.11,11/1/2014,0.019,45,14129
Santa Barbara.12,12/1/2014,0.0235,35,14129
Santa Clara.1,1/1/2014,0.05,60,14129
Santa Clara.2,2/1/2014,0.052,28,14129
Santa Clara.3,3/1/2014,0.0655,34,14129
Santa Clara.4,4/1/2014,0.036,40,14129
Santa Clara.5,5/1/2014,0.03,38,14129
Santa Clara.6,6/1/2014,0.023,36,14129
Santa Clara.7,7/1/2014,0.021,28,14129
Santa Clara.8,8/1/2014,0.021,30,14129
Santa Clara.9,9/1/2014,0.021,35,14129
Santa Clara.10,10/1/2014,0.017,34,14129
Santa Clara.11,11/1/2014,0.019,44,14129
Santa Clara.12,12/1/2014,0.0235,34,14129
